School,Address,Tel,Link
國立中科實驗高級中學,　[42878]台中市大雅區平和路227號,　04-25686850,　http://www.nehs.tc.edu.tw/
臺中市私立常春藤高級中學,　[427]台中市潭子區潭興路一段165巷320號,　04-25395066,　http://www.ivyjhs.tc.edu.tw/
臺中市明台高級中學,　[413]臺中市霧峰區萊園路91號,　04-23393071,　http://www.mths.tc.edu.tw
臺中市私立致用高級中學,　[43742]臺中市大甲區中山里甲東路512號,　04-26872354,　http://www.cycivs.tc.edu.tw/
臺中市私立大明高級中學,　[412]臺中市大里區新仁路三段210號(校本部)/[427] 臺中市潭子區潭興路一段168號(藝術校區),　04-24821027,　http://www.tmsh.tc.edu.tw
嘉陽學校財團法人臺中市嘉陽高級中學,　[436]台中市清水區中航路三段1號,　04-26152168,　http://www.cysh.tc.edu.tw
臺中市私立明道高級中學,　[414]臺中市烏日區中山路一段497號,　04-23372101,　http://www.mingdao.edu.tw
臺中市私立僑泰高級中學,　[412]臺中市大里區樹王路342號,　04-24063936#102~105,　http://www.ctas.tc.edu.tw/
臺中市華盛頓高級中學,　[411]臺中市太平區廍仔坑路26號,　04-23934712,　http://www.whs.tc.edu.tw/
臺中市青年高級中學,　[412]臺中市大里區中湖路100號,　04-24963333,　http://www.youth.tc.edu.tw/
臺中市私立弘文高級中學,　[427]臺中市潭子區弘文街100號,　04-25340011,　http://www.hwhs.tc.edu.tw
臺中市私立立人高級中學,　[41270]臺中市大里區中興路二段380號,　04-24834138,　http://www.lzsh.tc.edu.tw/
臺中市私立玉山高級中學,　[42348]臺中市東勢區東崎路四段399號,　04-25771313,　http://www.yssh.tc.edu.tw/
臺中市私立慈明高級中學,　[411]台中市太平區光德路388號,　04-22713911,　http://www.tmhs.tc.edu.tw/
臺中市立后綜高級中學,　[421]台中市后里區三豐路三段968號,　04-25562012,　https://hzsh.tc.edu.tw/
臺中市立大里高級中學,　[412]臺中市大里區國中路365號,　04-24067870,　http://www.dlsh.tc.edu.tw
臺中市立新社高級中學,　[426]臺中市新社區中和街三段國中巷10號,　04-25812116,　http://www.sshs.tc.edu.tw/
臺中市立長億高級中學,　[411]臺中市太平區長億六街1號,　04-22704022,　https://cyhs.tc.edu.tw/
臺中市立中港高級中學,　[435]臺中市梧棲區文昌路400號,　04-26578270,　http://www.cgsh.tc.edu.tw/
臺中市立臺中家事商業高級中等學校,　[401]臺中市東區和平街50號,　04-22223307,　http://www.tchcvs.tc.edu.tw
國立中興大學附屬臺中高級農業職業學校,　[401]臺中市東區台中路283號,　04-22810010,　http://www.tcavs.tc.edu.tw
臺中市立臺中工業高級中等學校,　[402]臺中市南區高工路191號,　04-22613158,　http://www.tcivs.tc.edu.tw
光華學校財團法人臺中市光華高級工業職業學校,　41141臺中市太平區東平路18號,　04-23949009,　http://www.khvs.tc.edu.tw
臺中市立豐原商業高級中等學校,　[420]台中市豐原區圓環南路50號,　04-25283556,　http://www.fyvs.tc.edu.tw
臺中市立大甲工業高級中等學校,　[437]臺中市大甲區頂店里開元路71號,　04-26874132,　http://www.tcvs.tc.edu.tw/
臺中市立東勢工業高級中等學校,　[423]臺中市東勢區東關路6段1328號,　04-25872136,　http://www.tsvs.tc.edu.tw/
臺中市立沙鹿工業高級中等學校,　433臺中市沙鹿區臺灣大道七段823號,　04-26621795,　http://www.slvs.tc.edu.tw
臺中市立霧峰農業工業高級中等學校,　[413]臺中市霧峰區中正路1222號,　04-23303118,　http://www.wufai.edu.tw
國立臺中科技大學,　三民校區：40401臺中市北區三民路三段129號　民生校區：40343臺中市西區三民路一段193號,　04-22195114,　http://www.nutc.edu.tw
弘光科技大學,　[433304]臺中市沙鹿區臺灣大道六段1018號,　04 - 26318652,　http://www.hk.edu.tw
市立豐原高級商業職業學校附設進修部,　[420]台中市豐原區圓環南路50號,　04-25283556#260~264,　http://www.fyvs.tc.edu.tw/
臺中市立大甲工業高級中等學校進修部,　[437]臺中市大甲區頂店里開元路71號,　04-26874132轉500~502,　http://www.tcvs.tc.edu.tw/releaseRedirect.do?unitID=183&pageID=3103
臺中市立東勢工業高級中等學校進修部,　[423]台中市東勢區東關路6段1328號,　04-25872136轉601、602、603、605,　http://www.tsvs.tc.edu.tw/
市立沙鹿工業高級中等學校進修部,　[433]台中市沙鹿區臺灣大道7段823號,　04-26621795,　http://www.slvs.tc.edu.tw/
市立霧峰高級農工職業學校進修部,　[413]台中市霧峰區中正路1222號,　04-23303118#801,　http://www.wufai.edu.tw/continue/
臺中市私立明台高級中學進修部,　[413]台中市霧峰區萊園路91號,　04-23393071#316,　http://www.mths.tc.edu.tw/night.htm
臺中市私立致用高級中學進修部,　[437]臺中市大甲區中山里甲東路512號,　04-26872354,　http://www.cycivs.tc.edu.tw/ischool/publish_page/0/
臺中市私立嘉陽高級中學,　[436]台中市清水區中航路三段1號,　04-26152168轉5111~5112,　http://www.cysh.tc.edu.tw/bin/home.php
臺中市私立僑泰高級中學進修部,　[412]臺中市大里區樹王路342號,　04-24063936,　http://www.ctas.tc.edu.tw/index2.php?content=211
臺中市青年高級中學進修部,　[412]臺中市大里區中湖路100號,　04-24954181#710,　http://www.youth.tc.edu.tw
臺中市私立玉山高級中學進修部,　[423]台中市東勢區東崎路4段399號,　04-25771313,　http://www.yssh.tc.edu.tw/
臺中市私立慈明高級中學附設進修部,　[411]台中市太平區光德路388號,　04-22713911轉501~504,　http://www.tmhs.tc.edu.tw/
臺中市立后綜高級中學進修部,　[421]臺中市后里區三豐路三段968號,　04-25562012分機3151,　http://www.hzsh.tc.edu.tw/ischool/publish_page/0/
臺中市立臺中家事商業高級中等學校進修部,　[401]台中市東區和平街50號,　04-22223307,　https://web.tchcvs.tc.edu.tw/ischool/publish_page/12/
國立中興大學附屬臺中高級農業職業學校進修部,　[401]台中市東區台中路283號,　04-22810010轉700、701、702、703,　http://night.tcavs.tc.edu.tw/
臺中市立臺中工業高級中等學校進修部,　[402]臺中市南區高工路191號,　04-22620065,　http://210.70.75.26/
臺中市私立新民高級中學進修部,　[404]台中市北區健行路111號,　04-22334105,　http://www.shinmin.tc.edu.tw/files/11-1000-135-1.php
臺中市明德高級中學進修部,　[402]台中市南區明德街84號,　04-22877676,　http://www.mdhs.tc.edu.tw/a1_1.asp
臺中市私立嶺東高級中學進修部,　[408]台中市南屯區春社里嶺東路2號,　04-23898940,　http://www.lths.tc.edu.tw/lths11/
光華學校財團法人臺中市光華高級工業職業學校附設高級工業職業進修部,　[40463]臺中市北區北進化路515號。太平新址：太平區東平路18號(預計102學年度遷校太平),　04-22333984,　http://www.khvs.tc.edu.tw
臺中市立啟聰學校,　臺中市西屯區安和路1號,　04-23589577,　www.thdf.tc.edu.tw
私立惠明學校,　[428]台中市大雅區雅潭路四段336號,　04-25661024,　http://www.hmsh.tc.edu.tw/
臺中市立臺中特殊教育學校,　[40861]臺中市南屯區公益路2段296號,　04-22582289,　www.tcspe.tc.edu.tw
臺中市立龍津高級中學,　臺中市龍井區三港路130號,　04-26304536,　http://www.ljjhs.tc.edu.tw
臺中市磊川華德福實驗教育學校,　,　,　
臺中市立神岡工業高級中等學校,　臺中市神岡區中山路627號,　04-25623421,　https://sgihs.tc.edu.tw/
